Rk,Team,Date,Thru Inn.,RS,RA,Diff,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,BOS,2024-09-22 (2),5,3,2,1,MIN,W 9-3,41,33,9,10,5,4,0,1,9,1,0,5,8,0.303,0.415,0.515,0.93,17,0,2,0,1,0
2,BOS,2024-09-22 (1),5,8,1,7,MIN,W 8-1,38,35,8,11,7,1,0,3,8,2,0,3,8,0.314,0.368,0.6,0.968,21,0,0,0,0,0
3,MIL,9/22/2024,5,3,8,-5,ARI,W 10-9,43,38,10,16,12,4,0,0,10,2,0,4,9,0.421,0.465,0.526,0.991,20,1,0,0,1,0
4,DET,9/22/2024,5,3,3,0,BAL,W 4-3,36,32,4,5,0,2,0,3,4,0,0,3,11,0.156,0.25,0.5,0.75,16,0,1,0,0,0
5,CHC,9/22/2024,5,5,0,5,WSN,W 5-0,33,28,5,7,2,2,0,3,5,1,0,5,8,0.25,0.364,0.643,1.006,18,2,0,0,0,0
6,HOU,9/22/2024,5,4,0,4,LAA,L 8-9,43,36,8,12,7,3,0,2,8,0,0,6,6,0.333,0.419,0.583,1.002,21,2,0,0,1,2
7,ATL,9/22/2024,5,3,2,1,MIA,W 5-4,39,36,5,11,7,1,1,2,5,0,0,2,9,0.306,0.359,0.556,0.915,20,2,1,0,0,0
8,COL,9/22/2024,5,4,1,3,LAD,L 5-6,40,35,5,9,6,3,0,0,5,0,0,5,17,0.257,0.35,0.343,0.693,12,1,0,0,0,0
9,ARI,9/22/2024,5,8,3,5,MIL,L 9-10,44,36,9,9,5,0,1,3,8,2,0,6,15,0.25,0.357,0.556,0.913,20,0,0,0,0,0
10,BAL,9/22/2024,5,3,3,0,DET,L 3-4,37,32,3,6,3,2,0,1,3,0,0,5,10,0.188,0.297,0.344,0.641,11,0,0,0,0,0
11,NYY,9/22/2024,5,5,2,3,OAK,W 7-4,44,35,7,9,3,3,0,3,7,1,0,6,4,0.257,0.386,0.6,0.986,21,0,2,0,1,2
12,SFG,9/21/2024,5,3,0,3,KCR,W 9-0,38,36,9,9,3,1,0,5,9,0,0,1,10,0.25,0.289,0.694,0.984,25,0,1,0,0,0
13,TBR,9/21/2024,5,3,1,2,TOR,W 3-2,32,28,3,7,6,0,0,1,3,1,2,4,6,0.25,0.344,0.357,0.701,10,0,0,0,0,0
14,SDP,9/21/2024,5,4,0,4,CHW,W 6-2,38,35,6,11,4,4,0,3,6,0,0,3,6,0.314,0.368,0.686,1.054,24,0,0,0,0,0
15,NYY,9/21/2024,5,6,0,6,OAK,W 10-0,47,40,10,14,11,0,0,3,9,3,0,6,8,0.35,0.447,0.575,1.022,23,1,1,0,0,0
16,LAD,9/21/2024,5,3,4,-1,COL,L 3-6,42,33,3,7,6,0,0,1,3,2,0,7,9,0.212,0.381,0.303,0.684,10,2,2,0,0,0
17,COL,9/21/2024,5,4,3,1,LAD,W 6-3,38,35,6,8,2,4,0,2,6,2,0,2,14,0.229,0.289,0.514,0.804,18,1,1,0,0,0
